age_years,gender,ssc_percentage,hsc_percentage,degree_percentage,degree_specialization,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,career_switch_willingness,relevant_experience,previous_ctc_lpa,expected_ctc_lpa,company_tier,job_role_match,competition_level,bond_requirement,notice_period_days,layoff_history,employment_gap_months,relocation_willingness,status
30,Male,67.988,76.824,70.657,Computer Science,72.076,77.012,69.536,78.654,1,No,0,Willing,Relevant,10.263,9.316,Tier 1,Not Matched,High,Not Required,0,No,0,Willing,Not Placed
31,Female,75.091,64.516,75.471,Computer Science,44.266,53.239,63.978,86.862,0,No,0,Not Willing,Not Relevant,2.192,6.371,Tier 3,Matched,Low,Not Required,15,Yes,0,Willing,Not Placed
23,Female,71.293,70.982,74.65,Computer Science,69.279,67.083,66.769,77.817,0,Yes,0,Willing,Relevant,4.172,6.757,Tier 3,Not Matched,Low,Not Required,0,No,12,Willing,Not Placed
32,Female,60.367,74.021,58.68,Information Technology,97.535,65.981,76.462,73.47,0,No,4,Willing,Relevant,3.377,5.348,Tier 2,Matched,Medium,Not Required,15,No,0,Not Willing,Placed
22,Female,74.091,87.01,65.077,Mechanical,72.935,60.851,85.852,75.416,1,Yes,3,Willing,Not Relevant,4.01,5.641,Tier 1,Matched,Low,Not Required,15,No,12,Willing,Placed
21,Male,69.173,56.551,83.771,Computer Science,63.158,46.201,62.906,88.901,1,Yes,4,Not Willing,Relevant,9.287,6.189,Tier 3,Matched,Medium,Not Required,0,No,3,Willing,Placed
29,Male,55.452,60.898,70.57,Electronics,50.975,62.1,72.11,64.409,1,Yes,0,Willing,Not Relevant,4.401,3.0,Tier 2,Matched,High,Not Required,0,No,0,Willing,Not Placed
24,Female,60.57,67.967,82.435,Computer Science,69.765,42.735,71.497,66.401,0,No,0,Willing,Relevant,9.033,7.317,Tier 2,Matched,Low,Not Required,15,No,0,Willing,Placed
32,Male,76.357,83.213,62.993,Electronics,81.968,68.564,65.081,77.107,1,No,0,Not Willing,Not Relevant,7.532,3.0,Tier 1,Matched,Low,Not Required,30,No,3,Willing,Placed
21,Male,89.884,63.494,66.591,Others,83.439,70.892,62.233,75.687,2,Yes,0,Not Willing,Relevant,7.258,3.948,Tier 1,Matched,Low,Not Required,30,No,12,Willing,Not Placed
21,Female,71.323,59.698,67.597,Computer Science,60.669,53.319,64.521,79.84,0,No,3,Not Willing,Relevant,1.906,12.659,Tier 1,Matched,Medium,Not Required,0,No,3,Not Willing,Not Placed
27,Male,50.0,62.265,66.36,Others,55.626,75.883,57.622,88.864,0,Yes,3,Not Willing,Relevant,5.294,12.324,Tier 1,Matched,Low,Not Required,0,Yes,0,Not Willing,Not Placed
22,Female,73.507,71.565,74.281,Information Technology,67.76,75.528,79.413,100.0,2,No,3,Not Willing,Relevant,6.492,13.453,Tier 1,Matched,Low,Required,0,No,18,Willing,Not Placed
27,Female,57.518,78.303,67.435,Computer Science,75.649,71.678,70.96,65.466,2,Yes,0,Willing,Relevant,5.608,8.912,Tier 2,Matched,Low,Required,0,No,0,Not Willing,Placed
32,Female,70.003,81.731,61.217,Others,71.239,65.771,66.396,56.006,4,No,1,Not Willing,Not Relevant,7.658,8.289,Tier 2,Matched,High,Not Required,0,No,0,Willing,Not Placed
27,Female,85.208,65.731,67.533,Information Technology,71.507,64.411,66.297,74.284,4,No,0,Not Willing,Relevant,8.509,3.0,Tier 3,Not Matched,High,Not Required,30,No,0,Willing,Not Placed
30,Male,64.234,76.959,80.616,Mechanical,83.519,64.143,77.92,76.173,1,No,0,Not Willing,Not Relevant,6.71,9.83,Tier 2,Matched,Low,Not Required,15,No,3,Not Willing,Not Placed
34,Female,73.851,74.112,60.88,Computer Science,57.445,54.15,71.886,72.551,4,Yes,2,Not Willing,Not Relevant,1.476,6.113,Tier 1,Not Matched,Low,Not Required,90,No,6,Willing,Not Placed
29,Female,69.763,74.465,80.2,Information Technology,59.131,57.642,73.969,65.908,1,Yes,2,Willing,Relevant,5.815,3.212,Tier 2,Not Matched,Medium,Not Required,0,No,6,Willing,Not Placed
33,Male,72.134,68.493,70.709,Others,61.123,63.229,64.154,65.421,2,No,1,Not Willing,Relevant,1.864,10.128,Tier 2,Not Matched,High,Not Required,60,No,18,Willing,Not Placed
27,Female,56.675,83.5,73.16,Mechanical,40.0,55.723,71.715,59.844,1,No,2,Willing,Not Relevant,1.0,10.869,Tier 2,Matched,Medium,Not Required,60,No,0,Not Willing,Not Placed
33,Male,72.132,69.265,70.016,Others,69.591,57.429,61.55,67.685,1,No,5,Not Willing,Not Relevant,7.033,10.122,Tier 1,Not Matched,High,Not Required,0,No,0,Willing,Not Placed
34,Male,79.96,88.675,73.867,Computer Science,74.227,63.319,76.891,78.372,2,No,4,Willing,Relevant,6.702,7.201,Tier 2,Not Matched,High,Not Required,15,No,0,Willing,Placed
21,Female,59.637,69.525,82.998,Information Technology,68.001,78.562,58.013,88.803,4,Yes,2,Not Willing,Not Relevant,5.917,6.479,Tier 3,Matched,Medium,Not Required,15,No,3,Willing,Placed
32,Female,80.177,81.147,75.349,Information Technology,67.662,63.514,57.885,67.692,1,No,4,Not Willing,Relevant,4.724,7.604,Tier 3,Matched,Medium,Not Required,15,No,12,Not Willing,Placed
33,Male,70.003,79.818,84.883,Mechanical,69.439,81.191,61.063,54.951,2,No,1,Not Willing,Relevant,8.632,11.22,Tier 3,Matched,Low,Not Required,0,No,0,Willing,Not Placed
28,Male,77.702,90.412,66.403,Computer Science,69.709,57.845,58.237,91.583,1,Yes,0,Willing,Relevant,5.845,5.866,Tier 2,Matched,Medium,Not Required,0,No,3,Not Willing,Not Placed
28,Female,63.787,66.175,76.069,Information Technology,77.071,50.386,57.101,56.812,2,No,1,Not Willing,Relevant,10.389,10.045,Tier 2,Matched,Low,Not Required,0,No,0,Willing,Placed
24,Female,61.408,70.501,71.401,Mechanical,65.799,58.544,63.92,70.936,2,Yes,2,Not Willing,Not Relevant,6.15,3.0,Tier 1,Matched,High,Not Required,0,No,0,Not Willing,Placed
33,Female,75.221,83.61,75.01,Computer Science,75.257,68.231,61.682,79.756,1,No,0,Not Willing,Relevant,6.249,5.664,Tier 3,Matched,High,Not Required,0,No,0,Willing,Placed
28,Female,73.453,70.073,71.459,Computer Science,57.631,62.037,71.92,71.092,0,Yes,5,Willing,Relevant,4.387,8.785,Tier 1,Not Matched,Medium,Not Required,30,No,0,Willing,Not Placed
24,Female,58.153,65.973,85.746,Others,84.864,51.497,64.864,78.175,1,Yes,1,Willing,Relevant,8.096,12.42,Tier 2,Not Matched,Medium,Not Required,60,Yes,0,Willing,Not Placed
28,Female,78.052,74.458,67.144,Others,57.221,76.785,61.338,71.535,2,No,2,Willing,Relevant,5.763,6.019,Tier 1,Matched,Medium,Not Required,15,No,3,Willing,Not Placed
25,Female,59.711,71.366,89.687,Computer Science,89.85,67.932,70.96,70.452,0,Yes,4,Willing,Relevant,2.003,3.0,Tier 3,Matched,Low,Not Required,30,Yes,0,Willing,Placed
24,Female,70.003,81.216,83.855,Computer Science,42.016,73.56,68.271,66.574,0,No,5,Willing,Relevant,2.872,7.402,Tier 2,Matched,Medium,Required,30,No,6,Not Willing,Not Placed
26,Male,71.675,85.214,68.637,Computer Science,73.631,51.587,71.359,98.639,0,Yes,2,Not Willing,Relevant,2.695,10.682,Tier 3,Matched,Low,Not Required,30,No,0,Willing,Placed
22,Male,63.873,66.677,71.178,Computer Science,68.697,54.856,56.582,78.655,1,No,1,Not Willing,Not Relevant,4.542,9.542,Tier 2,Matched,Medium,Not Required,60,No,0,Willing,Not Placed
32,Male,76.889,71.396,79.344,Electronics,56.525,66.801,62.009,86.384,1,No,4,Willing,Not Relevant,7.903,6.527,Tier 2,Matched,Low,Not Required,60,No,3,Not Willing,Not Placed
22,Male,74.735,74.892,62.514,Information Technology,51.164,62.061,68.414,59.959,0,Yes,2,Not Willing,Relevant,1.03,10.361,Tier 2,Matched,High,Required,0,Yes,6,Willing,Not Placed
22,Female,70.003,75.693,65.814,Mechanical,74.984,70.375,60.139,67.102,2,No,1,Not Willing,Relevant,5.358,10.596,Tier 1,Matched,Medium,Not Required,30,No,3,Willing,Placed
29,Female,51.701,70.795,76.902,Information Technology,43.798,45.951,70.525,74.404,1,No,3,Not Willing,Not Relevant,1.45,5.721,Tier 1,Matched,Low,Not Required,0,No,0,Not Willing,Not Placed
34,Female,79.945,66.773,76.421,Computer Science,44.871,68.615,58.55,75.414,2,No,3,Not Willing,Not Relevant,3.353,9.113,Tier 2,Matched,Low,Not Required,0,No,12,Not Willing,Not Placed
30,Male,70.716,70.299,64.441,Information Technology,56.909,64.369,71.017,58.238,0,Yes,0,Willing,Not Relevant,2.526,12.169,Tier 1,Matched,Medium,Required,15,No,3,Willing,Not Placed
23,Male,66.094,80.214,79.189,Others,78.622,67.888,69.367,70.659,1,No,4,Not Willing,Not Relevant,7.288,12.557,Tier 2,Not Matched,Medium,Not Required,15,No,3,Willing,Not Placed
30,Female,70.916,64.114,73.396,Others,53.253,68.125,70.949,69.318,1,No,1,Not Willing,Relevant,3.665,7.661,Tier 3,Not Matched,Low,Required,30,No,0,Willing,Not Placed
24,Male,78.167,65.912,83.48,Computer Science,74.256,40.0,68.81,87.433,3,Yes,1,Not Willing,Relevant,5.967,5.397,Tier 2,Matched,Low,Not Required,15,No,6,Not Willing,Placed
30,Female,72.748,65.879,66.678,Computer Science,57.556,48.737,62.39,67.961,0,No,2,Willing,Relevant,5.195,3.0,Tier 2,Matched,Low,Not Required,0,No,3,Not Willing,Not Placed
32,Female,72.006,66.104,64.202,Others,71.718,79.275,70.443,71.542,2,Yes,1,Not Willing,Relevant,6.537,8.36,Tier 3,Matched,Low,Not Required,15,No,0,Willing,Placed
28,Male,57.112,69.183,68.163,Mechanical,94.134,62.521,63.504,61.74,4,No,3,Not Willing,Relevant,6.507,3.0,Tier 2,Not Matched,Low,Not Required,15,No,12,Not Willing,Placed
24,Male,56.49,66.199,79.018,Information Technology,89.193,67.203,47.579,82.427,1,Yes,3,Not Willing,Not Relevant,5.868,6.128,Tier 1,Not Matched,Medium,Not Required,0,No,0,Willing,Placed
31,Female,68.173,74.906,74.119,Electronics,52.819,65.205,69.125,70.866,1,No,2,Willing,Relevant,3.847,5.14,Tier 2,Not Matched,High,Not Required,0,No,0,Willing,Not Placed
30,Male,74.831,74.496,70.5,Others,69.953,57.448,61.29,71.411,1,No,2,Not Willing,Relevant,4.107,7.311,Tier 3,Matched,Low,Not Required,0,No,0,Not Willing,Not Placed
30,Female,79.101,72.583,83.808,Others,69.966,67.998,65.798,85.49,1,Yes,2,Willing,Not Relevant,5.19,7.995,Tier 1,Not Matched,High,Not Required,0,No,3,Not Willing,Not Placed
33,Female,82.259,66.756,68.387,Computer Science,62.073,65.157,45.35,67.503,2,No,1,Not Willing,Relevant,5.702,5.942,Tier 3,Matched,Medium,Not Required,15,No,0,Not Willing,Not Placed
27,Female,87.817,67.728,76.604,Computer Science,56.532,54.311,71.327,72.896,2,Yes,0,Not Willing,Not Relevant,3.653,7.152,Tier 1,Matched,Medium,Required,15,No,0,Willing,Not Placed
25,Female,68.139,78.319,86.338,Mechanical,81.782,83.145,68.981,65.663,1,No,1,Not Willing,Not Relevant,5.191,5.415,Tier 1,Matched,Low,Not Required,0,No,0,Not Willing,Placed
29,Male,73.536,78.69,66.403,Mechanical,75.567,86.58,50.325,69.918,2,No,2,Willing,Relevant,3.656,3.0,Tier 1,Matched,High,Not Required,0,No,0,Willing,Placed
24,Female,71.691,60.05,80.227,Computer Science,72.787,60.954,50.549,77.978,2,No,2,Not Willing,Relevant,3.912,8.149,Tier 3,Matched,Low,Not Required,30,No,0,Not Willing,Not Placed
23,Male,65.639,89.102,75.322,Others,62.069,58.375,71.132,91.11,1,Yes,2,Willing,Not Relevant,3.871,4.785,Tier 2,Matched,High,Not Required,60,No,0,Willing,Placed
33,Female,79.239,76.659,70.953,Mechanical,81.102,57.291,66.829,56.437,2,Yes,0,Not Willing,Not Relevant,3.807,17.725,Tier 1,Matched,High,Not Required,30,No,0,Willing,Not Placed
22,Male,77.058,75.44,67.547,Others,84.475,59.58,63.639,70.255,1,Yes,3,Not Willing,Not Relevant,9.053,6.788,Tier 2,Matched,Low,Not Required,60,No,0,Not Willing,Placed
21,Female,68.813,70.76,86.752,Computer Science,80.601,74.296,58.039,85.933,0,No,5,Not Willing,Relevant,4.42,4.16,Tier 3,Not Matched,High,Not Required,60,No,0,Willing,Placed
31,Female,62.79,78.739,73.342,Mechanical,79.419,47.034,67.069,75.229,1,No,2,Willing,Not Relevant,7.16,9.149,Tier 3,Matched,Medium,Not Required,90,Yes,0,Willing,Not Placed
26,Male,60.57,70.635,80.202,Information Technology,63.776,54.546,95.706,99.318,1,No,1,Not Willing,Relevant,4.534,10.996,Tier 3,Matched,Low,Not Required,90,No,0,Willing,Placed
30,Female,64.53,74.715,64.63,Others,81.673,49.969,60.379,71.139,0,Yes,1,Not Willing,Not Relevant,3.277,5.316,Tier 1,Matched,High,Required,0,No,0,Willing,Not Placed
22,Female,72.658,73.302,82.296,Computer Science,60.677,60.675,71.303,74.025,1,Yes,0,Not Willing,Relevant,5.127,5.578,Tier 3,Matched,Low,Not Required,15,No,3,Willing,Not Placed
28,Female,65.131,78.929,87.299,Electronics,76.245,69.882,67.331,79.322,0,No,4,Not Willing,Not Relevant,4.892,3.0,Tier 1,Matched,High,Not Required,15,No,3,Willing,Placed
26,Female,71.629,67.641,72.56,Computer Science,58.499,64.211,51.638,64.829,0,Yes,3,Not Willing,Not Relevant,4.516,10.474,Tier 2,Matched,High,Not Required,15,No,0,Willing,Not Placed
32,Male,67.287,64.504,69.401,Computer Science,95.133,65.448,76.055,80.309,1,No,2,Not Willing,Not Relevant,5.585,7.335,Tier 2,Matched,Low,Not Required,60,No,0,Willing,Placed
32,Male,68.237,67.169,83.349,Mechanical,67.062,72.559,68.769,99.131,2,No,2,Not Willing,Relevant,1.184,6.724,Tier 2,Matched,Medium,Not Required,30,No,12,Willing,Not Placed
25,Female,73.024,64.366,77.401,Mechanical,61.683,78.211,49.418,80.884,2,Yes,1,Willing,Relevant,6.211,3.0,Tier 1,Matched,Low,Required,30,No,0,Willing,Not Placed
33,Female,68.687,70.425,79.413,Electronics,51.039,55.558,54.369,45.195,1,No,1,Not Willing,Not Relevant,6.726,12.175,Tier 1,Matched,High,Not Required,0,Yes,0,Willing,Not Placed
22,Female,61.12,71.814,73.565,Electronics,74.942,67.171,62.486,69.649,3,No,3,Willing,Relevant,6.595,10.75,Tier 3,Matched,Medium,Not Required,0,No,3,Not Willing,Placed
27,Male,66.039,76.192,84.935,Information Technology,67.818,75.371,74.092,47.128,0,Yes,2,Not Willing,Relevant,3.444,6.01,Tier 1,Not Matched,Medium,Not Required,0,No,0,Not Willing,Not Placed
22,Female,75.713,61.737,70.502,Others,66.175,61.655,63.293,55.658,5,Yes,2,Not Willing,Relevant,3.869,16.488,Tier 1,Matched,Medium,Not Required,90,No,0,Willing,Not Placed
33,Male,72.31,69.08,74.353,Information Technology,50.981,51.508,79.737,71.65,1,No,5,Not Willing,Relevant,3.063,7.831,Tier 3,Not Matched,Low,Required,0,No,18,Not Willing,Not Placed
34,Male,70.544,77.577,71.436,Electronics,64.762,70.294,45.0,66.69,3,Yes,0,Not Willing,Not Relevant,4.932,5.915,Tier 1,Matched,Low,Not Required,30,No,0,Not Willing,Not Placed
25,Male,68.497,69.694,74.036,Others,75.327,54.809,52.741,65.535,0,Yes,1,Not Willing,Not Relevant,1.186,7.993,Tier 2,Matched,Low,Not Required,15,No,0,Willing,Not Placed
22,Male,63.085,57.484,75.401,Mechanical,53.876,51.935,62.106,56.511,2,Yes,0,Willing,Relevant,7.124,9.881,Tier 1,Matched,Low,Not Required,0,No,18,Not Willing,Not Placed
31,Female,58.419,73.458,75.952,Mechanical,44.917,60.033,69.461,70.654,1,Yes,1,Willing,Not Relevant,7.228,7.113,Tier 3,Matched,Low,Not Required,0,Yes,0,Willing,Not Placed
30,Female,72.447,70.629,63.63,Computer Science,66.29,48.617,70.804,62.313,1,Yes,2,Not Willing,Relevant,2.885,10.775,Tier 1,Matched,Medium,Required,20,No,0,Willing,Not Placed
31,Male,68.417,72.061,77.356,Electronics,68.124,58.912,70.923,90.344,2,No,1,Willing,Relevant,2.928,7.041,Tier 2,Matched,Low,Required,0,No,6,Not Willing,Not Placed
31,Male,71.98,67.963,64.039,Information Technology,67.571,62.854,70.182,77.228,0,Yes,0,Not Willing,Relevant,3.929,9.496,Tier 2,Matched,Medium,Not Required,0,No,0,Willing,Placed
22,Female,70.003,74.696,68.139,Information Technology,73.82,53.579,68.522,68.663,1,Yes,5,Willing,Relevant,3.784,12.309,Tier 3,Matched,Medium,Not Required,15,No,3,Willing,Placed
27,Female,61.589,53.898,67.063,Computer Science,68.393,49.726,53.183,79.86,1,Yes,3,Not Willing,Not Relevant,3.247,8.053,Tier 2,Matched,High,Required,30,No,0,Not Willing,Not Placed
29,Female,50.0,72.921,75.92,Mechanical,70.168,67.963,66.239,61.138,0,No,1,Willing,Not Relevant,4.171,4.395,Tier 1,Matched,Low,Required,0,No,3,Willing,Not Placed
25,Female,74.459,73.122,81.774,Mechanical,70.426,61.625,62.472,69.602,0,No,1,Not Willing,Not Relevant,5.128,7.769,Tier 2,Matched,Medium,Not Required,30,No,0,Willing,Not Placed
27,Male,80.705,95.0,86.225,Information Technology,57.185,67.284,58.552,85.705,1,No,4,Willing,Relevant,6.188,3.0,Tier 3,Matched,Medium,Not Required,60,No,18,Willing,Not Placed
24,Female,70.003,77.114,73.216,Information Technology,68.955,58.94,75.307,96.227,3,No,4,Willing,Relevant,2.26,8.788,Tier 1,Matched,Low,Required,0,Yes,6,Not Willing,Not Placed
22,Male,70.003,63.015,80.43,Information Technology,88.762,79.855,67.541,45.0,2,Yes,5,Willing,Not Relevant,5.442,7.999,Tier 2,Not Matched,Low,Not Required,0,No,0,Not Willing,Not Placed
23,Female,66.728,70.1,71.074,Others,66.26,66.755,50.512,51.264,3,No,5,Not Willing,Relevant,4.883,3.876,Tier 2,Matched,Medium,Required,0,No,0,Willing,Not Placed
22,Male,74.453,68.232,67.388,Electronics,63.67,64.264,66.018,69.785,1,No,0,Not Willing,Not Relevant,5.208,8.619,Tier 3,Matched,Medium,Not Required,30,No,0,Willing,Not Placed
25,Female,59.99,77.133,57.344,Computer Science,60.559,66.401,59.931,63.42,2,Yes,2,Not Willing,Relevant,3.624,7.66,Tier 2,Matched,Low,Not Required,0,No,6,Willing,Not Placed
26,Female,80.191,68.946,61.759,Others,75.879,53.177,65.09,82.306,3,Yes,0,Not Willing,Relevant,3.803,5.806,Tier 1,Matched,Medium,Not Required,30,No,0,Willing,Placed
27,Female,71.055,81.241,77.249,Mechanical,58.742,70.625,55.785,95.436,2,Yes,3,Not Willing,Relevant,5.188,7.215,Tier 2,Not Matched,Medium,Not Required,0,No,0,Willing,Not Placed
23,Female,68.018,74.298,73.192,Mechanical,76.349,55.701,87.735,71.955,1,Yes,0,Willing,Not Relevant,5.045,10.191,Tier 2,Not Matched,Low,Not Required,60,No,6,Willing,Not Placed
24,Male,65.149,74.498,61.374,Mechanical,57.56,57.401,78.019,81.261,2,No,2,Not Willing,Not Relevant,4.681,11.348,Tier 2,Matched,Medium,Not Required,0,No,0,Willing,Not Placed
28,Female,77.421,72.094,76.403,Others,54.617,56.766,82.447,80.528,2,No,2,Not Willing,Relevant,7.238,9.056,Tier 2,Matched,Medium,Required,15,No,6,Not Willing,Not Placed
24,Female,68.243,73.387,75.369,Mechanical,70.306,64.949,63.422,55.068,1,Yes,2,Not Willing,Relevant,3.147,11.104,Tier 3,Not Matched,Low,Not Required,30,No,0,Not Willing,Not Placed
27,Male,81.763,83.521,74.307,Others,81.136,53.715,53.481,85.362,2,No,2,Not Willing,Not Relevant,3.442,4.864,Tier 2,Matched,Low,Not Required,20,No,0,Willing,Placed
32,Male,70.003,81.879,72.811,Others,69.753,63.567,58.618,67.7,1,Yes,1,Willing,Relevant,4.864,8.741,Tier 1,Matched,Low,Required,30,No,0,Willing,Placed
26,Male,80.56,67.966,76.821,Electronics,71.022,58.805,75.083,67.91,1,No,0,Willing,Relevant,5.941,3.0,Tier 1,Not Matched,Low,Not Required,0,No,0,Not Willing,Not Placed
27,Male,68.352,73.301,73.927,Computer Science,48.371,59.964,83.017,73.736,0,Yes,0,Willing,Relevant,7.079,4.046,Tier 2,Matched,High,Not Required,0,No,0,Willing,Not Placed
21,Female,74.119,91.742,82.41,Electronics,67.445,77.959,65.901,76.008,5,Yes,1,Not Willing,Relevant,6.993,4.347,Tier 1,Matched,Low,Not Required,90,Yes,0,Willing,Placed
23,Female,71.663,74.639,75.404,Electronics,74.657,68.533,70.191,69.504,1,Yes,0,Willing,Relevant,5.688,4.321,Tier 3,Matched,Low,Not Required,20,No,0,Willing,Placed
26,Female,67.75,64.095,75.839,Information Technology,100.0,71.493,58.922,70.344,0,Yes,5,Not Willing,Relevant,2.174,12.466,Tier 1,Matched,Low,Not Required,0,No,0,Willing,Placed
23,Female,61.67,67.544,67.964,Information Technology,40.0,57.776,70.188,73.144,0,No,5,Willing,Not Relevant,6.875,11.698,Tier 1,Matched,High,Not Required,15,No,0,Not Willing,Not Placed
34,Male,87.766,91.302,73.393,Mechanical,51.055,59.615,54.103,48.251,1,No,0,Not Willing,Relevant,6.562,6.451,Tier 2,Matched,Medium,Not Required,0,No,0,Willing,Not Placed
34,Female,65.729,66.278,65.115,Electronics,51.891,52.322,53.306,67.174,1,No,2,Not Willing,Relevant,7.523,3.0,Tier 2,Matched,Low,Required,30,No,18,Not Willing,Not Placed
27,Male,70.003,64.314,82.947,Electronics,70.628,72.512,82.955,79.624,1,No,0,Willing,Relevant,1.0,9.713,Tier 3,Matched,Medium,Not Required,60,No,0,Willing,Not Placed
29,Female,78.851,66.134,82.358,Others,52.394,74.839,75.11,88.478,2,Yes,3,Not Willing,Relevant,5.631,3.902,Tier 3,Not Matched,Low,Not Required,0,No,6,Willing,Not Placed
23,Male,64.333,60.988,71.913,Others,66.98,60.709,76.618,81.532,3,Yes,5,Not Willing,Relevant,3.446,5.946,Tier 1,Matched,Medium,Not Required,30,No,0,Willing,Placed
34,Male,59.279,62.065,80.799,Others,83.815,61.503,70.353,70.146,1,No,3,Not Willing,Relevant,4.374,7.898,Tier 3,Matched,Medium,Not Required,0,No,0,Not Willing,Placed
21,Male,73.347,69.252,62.301,Electronics,70.933,69.694,45.0,80.424,0,Yes,2,Not Willing,Relevant,5.935,8.476,Tier 2,Matched,Low,Required,0,No,0,Willing,Placed
30,Male,66.45,85.134,86.297,Information Technology,77.326,52.501,68.646,74.417,0,Yes,2,Not Willing,Relevant,2.965,9.96,Tier 1,Matched,Medium,Required,0,No,3,Willing,Not Placed
33,Male,70.003,73.997,69.213,Mechanical,40.0,62.691,51.607,70.293,0,No,3,Not Willing,Relevant,5.156,6.717,Tier 3,Matched,High,Required,30,No,3,Willing,Not Placed
26,Male,65.748,76.617,66.628,Information Technology,86.644,54.178,73.134,76.294,1,Yes,2,Not Willing,Not Relevant,7.088,6.444,Tier 1,Matched,Low,Not Required,0,No,6,Willing,Placed
32,Male,72.817,65.729,84.39,Electronics,50.599,71.516,75.57,74.737,1,No,3,Willing,Relevant,5.656,8.434,Tier 2,Matched,Medium,Not Required,60,No,0,Not Willing,Not Placed
21,Male,58.053,66.152,73.261,Electronics,62.529,69.355,90.032,76.928,2,Yes,3,Not Willing,Relevant,2.85,10.839,Tier 1,Matched,Low,Not Required,0,No,3,Not Willing,Placed
21,Female,68.497,74.697,66.8,Computer Science,60.7,74.843,67.072,79.794,1,Yes,1,Willing,Relevant,1.155,6.398,Tier 1,Matched,Low,Not Required,15,No,0,Not Willing,Not Placed
34,Male,60.489,72.088,83.741,Electronics,71.261,81.016,53.266,69.967,0,No,3,Not Willing,Relevant,8.173,7.657,Tier 3,Matched,High,Required,15,No,18,Willing,Not Placed
28,Female,81.151,79.886,65.794,Information Technology,85.525,66.178,60.894,86.573,2,No,1,Not Willing,Not Relevant,2.362,8.172,Tier 1,Matched,Low,Not Required,30,No,3,Willing,Placed
29,Male,68.866,69.083,80.819,Computer Science,70.102,59.479,69.345,82.762,2,No,2,Not Willing,Not Relevant,2.989,7.144,Tier 2,Matched,High,Required,0,No,0,Willing,Not Placed
22,Female,79.463,67.133,82.384,Information Technology,71.058,69.191,55.154,78.138,2,Yes,2,Not Willing,Not Relevant,2.959,8.269,Tier 2,Matched,Medium,Required,15,No,3,Willing,Not Placed
29,Female,77.911,63.732,81.216,Others,76.5,66.041,59.079,65.366,1,Yes,1,Not Willing,Not Relevant,5.083,4.73,Tier 2,Matched,Low,Not Required,90,No,0,Not Willing,Not Placed
25,Male,70.743,66.242,82.235,Mechanical,41.129,63.309,62.461,67.785,0,Yes,0,Not Willing,Relevant,2.821,11.791,Tier 3,Not Matched,Low,Required,15,Yes,3,Willing,Not Placed
33,Female,75.402,60.957,81.692,Mechanical,67.743,44.481,63.548,74.148,0,No,2,Willing,Relevant,7.11,6.611,Tier 2,Matched,High,Required,20,No,3,Willing,Not Placed
28,Female,74.698,90.354,73.898,Computer Science,79.74,79.216,69.392,69.68,0,Yes,1,Not Willing,Relevant,5.532,12.005,Tier 2,Not Matched,Low,Not Required,0,No,0,Willing,Not Placed
27,Female,78.14,75.972,76.712,Mechanical,65.849,79.406,67.716,59.401,1,Yes,0,Not Willing,Relevant,3.625,7.949,Tier 1,Matched,Low,Not Required,90,No,0,Not Willing,Not Placed
27,Male,69.278,61.006,70.0,Mechanical,73.521,65.521,71.714,77.69,2,Yes,0,Not Willing,Not Relevant,3.166,16.623,Tier 2,Matched,Medium,Not Required,30,No,12,Not Willing,Not Placed
24,Male,72.088,74.421,82.658,Mechanical,82.129,65.38,45.0,63.189,0,No,2,Not Willing,Relevant,3.84,6.538,Tier 3,Matched,High,Not Required,15,No,6,Willing,Placed
22,Male,61.713,74.094,68.809,Electronics,87.442,68.718,60.125,74.766,1,No,4,Not Willing,Relevant,2.628,8.06,Tier 2,Matched,High,Not Required,15,No,0,Willing,Placed
25,Male,63.223,76.996,71.887,Mechanical,61.206,57.185,81.318,74.862,1,Yes,0,Not Willing,Relevant,5.068,3.0,Tier 1,Not Matched,Low,Not Required,30,No,0,Willing,Not Placed
34,Female,75.076,71.466,75.121,Information Technology,40.0,69.544,77.489,69.839,0,No,2,Willing,Relevant,7.11,7.245,Tier 3,Matched,Low,Not Required,90,No,0,Willing,Not Placed
31,Female,74.024,69.429,76.75,Computer Science,81.801,77.586,65.849,69.802,2,Yes,2,Not Willing,Relevant,10.382,11.439,Tier 1,Not Matched,Low,Not Required,0,No,0,Willing,Placed
31,Female,62.643,61.853,78.382,Others,76.896,60.455,69.747,49.001,4,Yes,1,Willing,Not Relevant,6.413,3.433,Tier 2,Matched,Medium,Required,0,No,3,Willing,Not Placed
23,Female,70.399,50.06,63.215,Information Technology,69.079,63.731,58.521,74.46,0,No,0,Not Willing,Not Relevant,5.737,10.667,Tier 3,Matched,Medium,Not Required,0,No,0,Not Willing,Not Placed
34,Male,59.808,69.262,62.739,Computer Science,40.0,47.152,63.319,71.976,0,No,1,Not Willing,Relevant,2.464,9.025,Tier 1,Matched,Low,Not Required,0,No,3,Willing,Not Placed
29,Male,58.411,78.452,84.414,Information Technology,75.786,71.078,53.245,47.774,3,Yes,0,Not Willing,Relevant,1.0,8.55,Tier 1,Matched,High,Not Required,15,No,6,Willing,Not Placed
26,Male,71.818,64.082,80.663,Others,71.559,80.586,74.348,76.16,0,No,2,Willing,Not Relevant,8.085,5.546,Tier 3,Matched,Low,Not Required,0,No,0,Willing,Placed
